📝 Execution recorded: execution_records/exec_20260214_121926_USDC_HTS_to_USDC.json
2026-02-14 12:29:44 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 12:29:52 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 12:29:52 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 12:29:54 | pacman | INFO | ✅ PacmanExecutor initialized
2026-02-14 12:29:54 | pacman | INFO |    Hedera Account: 0.0.8213379 (Native ID)
2026-02-14 12:29:54 | pacman | INFO |    EVM Address:    0x76D2580A07Eebaa790a286df2BD1f8b13655C5fa (Ethereum Mirror)
2026-02-14 12:29:54 | pacman | INFO |    Network:        mainnet
2026-02-14 12:41:10 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 12:41:11 | pacman | INFO | ✅ PacmanExecutor initialized
2026-02-14 12:41:11 | pacman | INFO |    Hedera Account: 0.0.8213379 (Native ID)
2026-02-14 12:41:11 | pacman | INFO |    EVM Address:    0x76D2580A07Eebaa790a286df2BD1f8b13655C5fa (Ethereum Mirror)
2026-02-14 12:41:11 | pacman | INFO |    Network:        mainnet
2026-02-14 12:41:43 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 12:41:43 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 12:42:04 | pacman | INFO | Loaded 44 unique pools from pacman_data_raw.json
2026-02-14 12:42:18 | pacman | INFO | ✅ PacmanExecutor initialized
2026-02-14 12:42:18 | pacman | INFO |    Hedera Account: 0.0.8213379 (Native ID)
2026-02-14 12:42:18 | pacman | INFO |    EVM Address:    0x76D2580A07Eebaa790a286df2BD1f8b13655C5fa (Ethereum Mirror)
2026-02-14 12:42:18 | pacman | INFO |    Network:        mainnet
2026-02-14 12:42:30 | pacman | INFO | 
🚀 Executing swap: 5.0 HBAR → USDC
2026-02-14 12:42:30 | pacman | INFO |    Mode: EXACT_IN (LIVE)
2026-02-14 12:42:30 | pacman | INFO |    Steps: 1
2026-02-14 12:42:30 | pacman | INFO |    ✅ Associated.
2026-02-14 12:42:30 | pacman | INFO | 
📍 Step 1/1: SWAP
2026-02-14 12:42:32 | pacman | INFO |    ⏳ Waiting for on-chain confirmation...
2026-02-14 12:42:39 | pacman | INFO |    ✅ Confirmed! Cost: 1535974800.00000000 HBAR (187314 gas)
2026-02-14 12:42:39 | pacman | INFO |    ⏳ Verifying transaction on-chain: 9b9d6802d3e80fd0fec7d0b44fbb167b1b8a3fd103af55803608ee8e52526d2f...
2026-02-14 12:42:40 | pacman | INFO | 
📝 Execution recorded: execution_records/exec_20260214_124240_HBAR_to_USDC.json
2026-02-14 19:46:46 | pacman | INFO | Loaded 44 unique pools from data/pacman_data_raw.json
2026-02-14 19:50:24 | pacman | INFO | Loaded 44 unique pools from data/pacman_data_raw.json
2026-02-14 19:50:26 | pacman | INFO | Loaded 44 unique pools from data/pacman_data_raw.json
2026-02-14 19:50:27 | pacman | INFO | ✅ PacmanExecutor initialized
2026-02-14 19:50:27 | pacman | INFO |    Hedera Account: 0.0.8213379 (Native ID)
2026-02-14 19:50:27 | pacman | INFO |    EVM Address:    0x76D2580A07Eebaa790a286df2BD1f8b13655C5fa (Ethereum Mirror)
2026-02-14 19:50:27 | pacman | INFO |    Network:        mainnet
2026-02-14 20:15:52 | pacman | INFO | Loaded 44 unique pools from data/pacman_data_raw.json
2026-02-14 20:15:55 | pacman | INFO | ✅ PacmanExecutor initialized
2026-02-14 20:15:55 | pacman | INFO |    Hedera Account: 0.0.8213379 (Native ID)
2026-02-14 20:15:55 | pacman | INFO |    EVM Address:    0x76D2580A07Eebaa790a286df2BD1f8b13655C5fa (Ethereum Mirror)
2026-02-14 20:15:55 | pacman | INFO |    Network:        mainnet
2026-02-14 20:26:57 | pacman | INFO | Loaded 44 unique pools from data/pacman_data_raw.json
2026-02-14 20:29:57 | pacman | INFO | Loaded 44 unique pools from data/pacman_data_raw.json
2026-02-14 20:40:10 | pacman | INFO | Loaded 44 unique pools from data/pacman_data_raw.json
